SITE	SITE_name	AREA	LAT	LON	ELEV	PREC_MIN	PREC_MAX	PREC	TEMP	TEMP_MAX	TEMP_MIN	NDVI	NDVI_MIN	len_perm_riv	len_temp_riv
ABD	Aberdares	1930	-0.58574	36.7081	2712	937	2325	1658	11.9	18.4	4.3	0.714	0.391	170667	2030
EL	Elgon	733	0.97127	34.6762	2504	1127	1868	1598	15	21.8	8	0.683	0.298	136637	0
KK	Kakamega	540	0.21709	34.9848	1793	1461	1980	1773	18.8	27	9.9	0.751	0.561	76793	0
MM	Masaai Mara	1520	-1.47489	35.1074	1601	899	1352	1037	19.5	26.4	11.6	0.533	0.276	173688	0
MR	Meru	5090	-0.04388	38.6174	421	306	656	429	25.6	32.9	16.7	0.371	0.227	61267	605036
MKE	Mt Kenya	2600	-0.18514	37.3245	2686	807	2174	1596	12.4	19.1	4.8	0.633	0.268	397174	10990
NR	Nairobi	66	-1.37959	36.863	1628	635	840	741	19	25.3	11	0.417	0.198	2436	0
NV	Naivasha	119	-0.91865	36.3166	1974	669	826	711	16.7	23.9	8.4	0.457	0.257	0	0
SB	Samburu	424	0.61437	37.6678	883	432	689	502	23.6	32	14.6	0.298	0.181	44672	20510
SH	Shimba Hills	224	-4.25885	39.3836	242	1003	1185	1103	24.5	28.8	18.3	0.622	0.431	7360	0
SHP	Shompole	183	-1.92106	36.0127	1120	474	798	563	22.6	29.2	14.5	0.537	0.338	16455	0
TN	Tana	560	-1.59528	40.1467	77	451	650	508	27.3	32.6	19.9	0.389	0.235	20983	0
TV	Tsavo	20210	-2.99771	38.4953	544	504	1117	714	24.5	30.1	17.1	0.344	0.202	236630	909455
